Question,Label
What are the most popular majors at Northwestern University?,WIKIPEDIA_DATA
How does Northwestern University rank nationally?,WIKIPEDIA_DATA
What are the on-campus housing options at Northwestern University?,WIKIPEDIA_DATA
What study abroad programs does Northwestern University offer?,WIKIPEDIA_DATA
What are Northwestern University's policies on diversity and inclusion?,WIKIPEDIA_DATA
What is the student to teacher ratio at Evanston Township High School?,WIKIPEDIA_DATA
Are there any specialized programs at Evanston Township High School?,WIKIPEDIA_DATA
How does Evanston Township High School support college readiness?,WIKIPEDIA_DATA
What athletic programs are available at Evanston Township High School?,WIKIPEDIA_DATA
How does Evanston Township High School engage with the local community?,WIKIPEDIA_DATA
How do community colleges in America support workforce development?,WIKIPEDIA_DATA
What is the average cost of attending a community college in America?,WIKIPEDIA_DATA
How flexible are the class schedules at community colleges?,WIKIPEDIA_DATA
What are the transfer success rates from community colleges to four-year universities?,WIKIPEDIA_DATA
How do community colleges in America address student diversity?,WIKIPEDIA_DATA
What are the unique features of the Kellogg School of Management's MBA program?,WIKIPEDIA_DATA
How does the Kellogg School of Management facilitate networking?,WIKIPEDIA_DATA
What are the Kellogg School of Management's strengths in research?,WIKIPEDIA_DATA
How does the Kellogg School of Management support startups?,WIKIPEDIA_DATA
What global experiences does the Kellogg School of Management offer?,WIKIPEDIA_DATA
What makes the Great Books Program at Shimer College unique?,WIKIPEDIA_DATA
How is the curriculum of the Great Books Program structured?,WIKIPEDIA_DATA
What skills does the Great Books Program aim to develop in students?,WIKIPEDIA_DATA
How does the Great Books Program integrate with modern issues?,WIKIPEDIA_DATA
What are the outcomes for graduates of the Great Books Program?,WIKIPEDIA_DATA
What role do research universities play in American innovation?,WIKIPEDIA_DATA
How do research universities in America collaborate with the private sector?,WIKIPEDIA_DATA
What are some examples of breakthroughs that have come out of American research universities?,WIKIPEDIA_DATA
How do research universities contribute to the local and national economy?,WIKIPEDIA_DATA
What are the challenges facing research universities today?,WIKIPEDIA_DATA
How do liberal arts colleges contribute to a well-rounded education?,WIKIPEDIA_DATA
What are the advantages of attending a liberal arts college over a large university?,WIKIPEDIA_DATA
How do liberal arts colleges prepare students for life after graduation?,WIKIPEDIA_DATA
What is the role of interdisciplinary studies at liberal arts colleges?,WIKIPEDIA_DATA
How do liberal arts colleges foster critical thinking and creativity?,WIKIPEDIA_DATA
What is the historical significance of fraternities and sororities in American colleges?,WIKIPEDIA_DATA
How do fraternities and sororities contribute to campus life and student development?,WIKIPEDIA_DATA
What are the challenges faced by fraternities and sororities in promoting inclusivity?,WIKIPEDIA_DATA
How do fraternities and sororities engage with philanthropy and community service?,WIKIPEDIA_DATA
What measures are fraternities and sororities taking to ensure student safety and well-being?,WIKIPEDIA_DATA
How did the transition to coeducational institutions impact higher education in America?,WIKIPEDIA_DATA
What were the initial challenges and outcomes of coeducation in American institutions?,WIKIPEDIA_DATA
How has the perception of coeducation changed over time in America?,WIKIPEDIA_DATA
What are the benefits of coeducation as observed in American educational institutions?,WIKIPEDIA_DATA
How do coeducational institutions address issues of gender equality and diversity?,WIKIPEDIA_DATA
How have online education and MOOCs transformed learning opportunities?,WIKIPEDIA_DATA
What are the key benefits and challenges of online education?,WIKIPEDIA_DATA
How do MOOCs complement traditional educational pathways?,WIKIPEDIA_DATA
What trends are shaping the future of online education and MOOCs?,WIKIPEDIA_DATA
How do institutions ensure the quality of online education and MOOC offerings?,WIKIPEDIA_DATA
What is the purpose of the Gifts and Hospitality Policy at Northwestern University?,NU_POLICY
Who needs to comply with the Northwestern University Gifts and Hospitality Policy?,NU_POLICY
What defines a 'gift' under the Northwestern University policy?,NU_POLICY
Who are considered external parties in the context of the Gifts and Hospitality Policy?,NU_POLICY
What are some examples of hospitality under this policy?,NU_POLICY
What are the restrictions on accepting gifts from external parties at Northwestern University?,NU_POLICY
Can employees of Northwestern University accept cash gifts or gift cards from external parties?,NU_POLICY
Under what conditions can business meals and hospitality be accepted by Northwestern University employees?,NU_POLICY
What should employees do if they are involved with vendor decisions and receive gifts or hospitality?,NU_POLICY
How can exceptions to the Gifts and Hospitality Policy be granted?,NU_POLICY
What is the process for appealing a denied exception to the Gifts and Hospitality Policy?,NU_POLICY
Are there any circumstances under which Northwestern faculty and staff can solicit gifts or hospitality?,NU_POLICY
What are the disclosure requirements for gifts and hospitality at Northwestern University?,NU_POLICY
How does the Gifts and Hospitality Policy relate to other Northwestern University policies?,NU_POLICY
What are the consequences of violating the Gifts and Hospitality Policy?,NU_POLICY
Which office should be contacted for questions regarding the Gifts and Hospitality Policy?,NU_POLICY
What is the effective date of the current Gifts and Hospitality Policy?,NU_POLICY
When is the next review date for the Gifts and Hospitality Policy?,NU_POLICY
Where can the full text of the Gifts and Hospitality Policy be found?,NU_POLICY
What are some examples of de minimis gifts allowed under the policy?,NU_POLICY